method,iteration,violation,accuracy,accuracy_rank,violation_rank
oxonfair,2,-0.011179824064635484,0.6722222222222222,1,1
21multi,2,0.0,0.6792222222222222,0,0
oxonfair,0,-0.02541939755047995,0.6609999999999999,1,1
21multi,1,0.0,0.6435833333333333,0,0
oxonfair,1,0.0,0.6370000000000001,1,1
21multi,0,-0.02557804768331084,0.6724615384615386,0,0
oxonfair,2,-0.028936459395175012,0.6702307692307693,1,1
21multi,2,-0.0020098538905878346,0.681,0,0
21multi,0,-0.035399214427578374,0.6709999999999999,0,0
oxonfair,1,0.0,0.6370000000000002,1,1
21multi,1,0.0,0.6438333333333334,0,0
oxonfair,0,-0.02541939755047995,0.6609999999999999,1,1
oxonfair,1,0.0,0.6370000000000002,1,1
21multi,2,0.0,0.6782000000000001,0,0
oxonfair,0,-0.02495065156151834,0.6610000000000001,1,1
21multi,1,0.0,0.641875,0,0
oxonfair,2,-0.01788865640145214,0.6706842105263161,1,1
21multi,0,-0.021427997216761585,0.6728571428571428,0,0
oxonfair,2,-0.010213449479504522,0.6724545454545453,1,1
21multi,0,-0.021353003721424766,0.6710909090909091,0,0
21multi,2,-0.001096283940320637,0.6789999999999999,0,0
21multi,1,0.0,0.6445454545454545,0,0
oxonfair,1,0.0,0.637,1,1
oxonfair,0,-0.026442426821771392,0.6609999999999999,1,1
21multi,1,0.0,0.6443333333333333,0,0
21multi,0,-0.03869964582476995,0.6727692307692308,0,0
21multi,2,-0.0012059123343527006,0.6788000000000001,0,0
oxonfair,0,-0.02595394145741712,0.661,1,1
oxonfair,1,0.0,0.6370000000000002,1,1
oxonfair,2,-0.006686008520870894,0.6727692307692308,1,1
oxonfair,2,-0.009234794427454975,0.6704999999999999,1,1
oxonfair,1,0.0,0.6370000000000001,1,1
21multi,0,-0.037768849347087394,0.6728571428571428,0,0
21multi,2,-0.0017227319062181438,0.677857142857143,0,0
21multi,1,0.0,0.6431538461538462,0,0
oxonfair,0,-0.02403856983797399,0.6609999999999999,1,1
21multi,1,0.0,0.6443333333333334,0,0
oxonfair,1,0.0,0.6370000000000001,1,1
21multi,2,-0.0020098538905878346,0.6795000000000001,0,0
oxonfair,0,-0.031419397550479955,0.6609999999999999,1,1
21multi,0,-0.026282248315515448,0.6710769230769231,0,0
oxonfair,2,-0.010446692281554659,0.6723846153846154,1,1
21multi,2,-0.0024118246687054013,0.6805000000000001,0,0
21multi,0,-0.024320109163704008,0.6718181818181818,0,0
oxonfair,2,-0.01661192283006759,0.6735555555555555,1,1
oxonfair,1,0.0,0.6370000000000001,1,1
21multi,1,0.0,0.6444444444444445,0,0
oxonfair,0,-0.014930912186125671,0.6609999999999999,1,1
21multi,1,0.0,0.6435454545454546,0,0
oxonfair,2,-0.016123683316343874,0.6733999999999999,1,1
oxonfair,1,0.0,0.6370000000000001,1,1
oxonfair,0,-0.02910909348843806,0.661,1,1
21multi,2,-0.0020098538905878346,0.6788333333333334,0,0
21multi,0,-0.017764959343552055,0.6722857142857143,0,0
oxonfair,0,-0.027701013540139638,0.661,1,1
oxonfair,1,0.0,0.637,1,1
21multi,0,-0.030165769627040727,0.6719999999999999,0,0
21multi,1,0.0,0.6436666666666667,0,0
oxonfair,2,-0.00578373715988394,0.6703846153846154,1,1
21multi,2,0.0,0.6796923076923077,0,0
oxonfair,2,0.0,0.6721666666666667,1,1
21multi,1,0.0,0.6440769230769232,0,0
oxonfair,0,-0.023594492234015562,0.6609999999999999,1,1
21multi,2,-0.0016078831124702675,0.6792666666666668,0,0
21multi,0,-0.041776864199282275,0.673,0,0
oxonfair,1,0.0,0.6370000000000001,1,1
oxonfair,2,-0.011082882459029246,0.6739230769230768,1,1
oxonfair,0,-0.024926725045890864,0.6609999999999999,1,1
21multi,0,-0.016590602992456693,0.6706666666666667,0,0
21multi,1,0.0,0.6422222222222222,0,0
oxonfair,1,0.0,0.6369999999999999,1,1
21multi,2,0.0,0.679909090909091,0,0
oxonfair,2,0.0,0.6701428571428573,1,1
oxonfair,0,-0.018442426821771392,0.6609999999999999,1,1
21multi,1,0.0,0.6433333333333334,0,0
21multi,0,-0.04266520467836256,0.6729999999999999,0,0
oxonfair,1,0.0,0.637,1,1
21multi,2,-0.001339902593725223,0.6800000000000002,0,0
21multi,1,0.0,0.6429999999999999,0,0
oxonfair,2,-0.003950823216878256,0.6744545454545453,1,1
21multi,0,-0.038604845446950704,0.6745714285714286,0,0
oxonfair,0,-0.014331820116328546,0.6609999999999998,1,1
oxonfair,1,0.0,0.637,1,1
