method,iteration,violation,accuracy,accuracy_rank,violation_rank
oxonfair,0,-0.06805555555555559,0.4723406033258127,1,0
21multi,1,-0.16383040935672524,0.6802958134870896,0,1
21multi,2,-0.026808223289315786,0.6473426924041112,0,1
oxonfair,2,-0.03029497513291035,0.6143322708877986,1,0
21multi,0,-0.005357142857142878,0.6638076137950792,0,1
oxonfair,1,-0.03086998063074623,0.5687756715583239,1,0
21multi,1,-0.14673223462697155,0.6546837135455836,0,1
21multi,0,-0.016435185185185237,0.5721010556809003,0,1
oxonfair,1,-0.08851130926489785,0.655208072198546,1,0
oxonfair,0,-0.033035714285714335,0.6019768649500411,1,0
oxonfair,2,-0.0514334305150632,0.7207678258066827,1,0
21multi,2,-0.024829931972789137,0.5404147118862587,0,1
21multi,1,-0.13028752436647179,0.6299824517422913,0,1
oxonfair,2,-0.059120791173612366,0.6824839737850519,1,0
oxonfair,1,-0.057721822155634005,0.5641068493913819,1,0
21multi,0,-0.0014880952380952486,0.7244207284317588,0,1
oxonfair,0,-0.03333333333333339,0.6517088660482994,1,0
21multi,2,-0.035264105642256925,0.7463274003509651,0,1
21multi,2,-0.024809923969587866,0.5931937829029832,0,1
oxonfair,1,-0.0634972129589355,0.5767945182585444,1,0
21multi,0,-0.011458333333333362,0.6242479318124843,0,1
oxonfair,0,-0.06562500000000003,0.536517088660483,1,0
oxonfair,2,-0.045936152238673277,0.643352552853681,1,0
21multi,1,-0.1098591174906965,0.6207570819754324,0,1
oxonfair,1,-0.07045243100865115,0.5547129606417648,1,0
21multi,2,-0.029971988795518247,0.672580365235166,0,1
21multi,1,-0.1115857826384143,0.6133295133044444,0,1
21multi,0,-0.003750000000000031,0.7505640511406367,0,1
oxonfair,0,-0.03674242424242429,0.6894642083912577,1,0
oxonfair,2,-0.054025610244097654,0.7124091250940084,1,0
oxonfair,2,-0.049415766306522634,0.612333918275257,1,0
21multi,2,-0.03918233960250771,0.7534330520041225,0,1
21multi,0,-0.006640625000000018,0.6270525194284281,0,1
21multi,1,-0.12167729930887831,0.6089746803710202,0,1
oxonfair,1,-0.06582572132811373,0.6562839475223531,1,0
oxonfair,0,-0.03461538461538465,0.6620706944096264,1,0
21multi,1,-0.1447368421052632,0.6991727249937327,0,1
oxonfair,0,-0.048511904761904825,0.5553486373240698,1,0
oxonfair,1,-0.09515455304928992,0.4976900762812019,1,0
oxonfair,2,-0.04513623631270694,0.6415369538959411,1,0
21multi,2,-0.028189275710284168,0.6052644773126097,0,1
21multi,0,-0.007175925925925937,0.6056655803459514,0,1
oxonfair,2,-0.05498999599839941,0.6457508147405366,1,0
21multi,1,-0.10232486811434188,0.5361860500993114,0,1
oxonfair,0,-0.03333333333333336,0.6344530793014121,1,0
21multi,0,-0.004687500000000029,0.6672724993732766,0,1
21multi,2,-0.030837789661319125,0.6811002985482806,0,1
oxonfair,1,-0.09765950061730842,0.6539118940723353,1,0
oxonfair,0,-0.0245833333333334,0.6362998245174228,1,0
oxonfair,1,-0.0428669030452415,0.6495818045078511,1,0
oxonfair,2,-0.04513405362144862,0.5542241163198798,1,0
21multi,1,-0.1357954545454546,0.6677738781649537,0,1
21multi,0,-0.017187500000000022,0.4956756079217849,0,1
21multi,2,-0.029071628651460596,0.6799728665595093,0,1
oxonfair,2,-0.045936152238673277,0.643352552853681,1,0
oxonfair,1,-0.0634972129589355,0.5767945182585444,1,0
oxonfair,0,-0.06562500000000003,0.536517088660483,1,0
21multi,1,-0.1098591174906965,0.6207570819754324,0,1
21multi,2,-0.024809923969587866,0.5931937829029832,0,1
21multi,0,-0.011458333333333362,0.6242479318124843,0,1
21multi,2,-0.03180415023152123,0.7025033126813022,0,1
21multi,1,-0.14408337763600923,0.6081306927383638,0,1
oxonfair,1,-0.022268135904499588,0.4695412384056155,1,0
oxonfair,0,-0.040224358974359026,0.5685442659621651,1,0
21multi,0,-0.01015625000000002,0.6246239659062421,0,1
oxonfair,2,-0.05801397482069756,0.5532714966156933,1,0
oxonfair,2,-0.05398381574852167,0.5546363611041475,1,0
oxonfair,0,-0.03979166666666669,0.702256204562547,1,0
21multi,0,-0.0065476190476190564,0.5733624610536118,0,1
oxonfair,1,-0.049345988939290424,0.5898184292518712,1,0
21multi,1,-0.09957203615098358,0.5912258711456505,0,1
21multi,2,-0.024751439037153343,0.6320265345083593,0,1
oxonfair,0,-0.05062500000000003,0.5406618200050137,1,0
21multi,0,-0.00777777777777781,0.6775298738196708,0,1
oxonfair,1,-0.06606444703901268,0.6674275309733344,1,0
21multi,1,-0.20197368421052642,0.7799573828027074,0,1
oxonfair,2,-0.04549219687875152,0.7229882175983956,1,0
21multi,2,-0.030017006802721083,0.7143707696164452,0,1
oxonfair,1,-0.050608960417572915,0.6163198796690901,1,0
21multi,0,-0.007291666666666696,0.6865308168893025,0,1
oxonfair,2,-0.03990996398559428,0.6770619202807723,1,0
oxonfair,0,-0.038541666666666696,0.6832038104788167,1,0
21multi,2,-0.03206513374580606,0.6566519466995776,0,1
21multi,1,-0.13245044429254962,0.6418185725029545,0,1
21multi,1,-0.1220427963849017,0.6363123589872147,0,1
21multi,0,-0.006250000000000015,0.6036600651792429,0,1
oxonfair,2,-0.03870148059223695,0.5717974429681625,1,0
21multi,2,-0.02694633408919125,0.6778362719701402,0,1
oxonfair,1,-0.049231247885554136,0.6144397092003009,1,0
oxonfair,0,-0.03906250000000003,0.6560228127350213,1,0
oxonfair,2,-0.042943844204348415,0.6028801426144119,1,0
21multi,1,-0.10957602339181291,0.573796690899975,0,1
21multi,0,-0.00740740740740743,0.6729617559399459,0,1
oxonfair,0,-0.03708333333333337,0.6085735773376786,1,0
21multi,2,-0.029446064139941743,0.6868531318268094,0,1
oxonfair,1,-0.036944634313055426,0.6625362604304695,1,0
oxonfair,0,-0.021780303030303094,0.7123225233027188,1,0
21multi,1,-0.14959595959595964,0.6579343193782903,0,1
21multi,2,-0.023351340536214495,0.6074454750564051,0,1
oxonfair,1,-0.09652989222367216,0.630734519929807,1,0
21multi,0,-0.008522727272727283,0.650949201212425,0,1
oxonfair,2,-0.04545118047218892,0.6420406116821258,1,0
21multi,2,-0.03295906597933294,0.6909884535413564,0,1
21multi,1,-0.14007177033492826,0.6716386730174647,0,1
oxonfair,2,-0.045616024187452794,0.7301189381911368,1,0
oxonfair,0,-0.03237179487179493,0.6441367607073297,1,0
21multi,0,-0.008958333333333356,0.6894459764351968,0,1
oxonfair,1,-0.06370737184134316,0.5837591839095976,1,0
oxonfair,0,-0.03281250000000004,0.6525653881507479,1,0
oxonfair,2,-0.047103285758747976,0.6782819420071865,1,0
21multi,2,-0.03532746431906101,0.6764435531043703,0,1
21multi,1,-0.09150206518627577,0.5767591646257979,0,1
oxonfair,1,-0.05272469511703965,0.6676359989972424,1,0
21multi,0,-0.007812500000000036,0.7182042282944764,0,1
oxonfair,0,-0.03125000000000003,0.6773418567727919,1,0
21multi,0,-0.009722222222222262,0.6654410740647893,0,1
21multi,1,-0.13681552365762897,0.6689228712292137,0,1
oxonfair,2,-0.05627584367080174,0.5263641681290214,1,0
21multi,2,-0.02990105132962277,0.6867294149821098,0,1
oxonfair,1,-0.06790743450160591,0.6107021582077987,1,0
21multi,0,-0.007291666666666685,0.6699172724993733,0,1
21multi,2,-0.023802248171996124,0.5620228355249663,0,1
oxonfair,2,-0.04824929971988799,0.5985522687390323,1,0
oxonfair,1,-0.03426237143070555,0.6092436017229198,1,0
oxonfair,0,-0.024652777777777857,0.7424166457758837,1,0
21multi,1,-0.14409888357256784,0.6603994317707027,0,1
21multi,2,-0.023871366728509646,0.5353130198956221,0,1
oxonfair,1,-0.053153984384954424,0.6509947811025776,1,0
oxonfair,0,-0.03281250000000002,0.596014038606167,1,0
oxonfair,2,-0.06092436974789923,0.6168326534333054,1,0
21multi,1,-0.14774720893141954,0.6644940252360658,0,1
21multi,0,-0.01342592592592594,0.5867524581487982,0,1
21multi,2,-0.031519274376417265,0.6723768140163227,0,1
oxonfair,2,-0.03944808692707858,0.6505004146016933,1,0
oxonfair,0,-0.023674242424242483,0.7309874883201531,1,0
21multi,0,-0.014351851851851886,0.5809030389125651,0,1
21multi,1,-0.11339712918660294,0.6024066182000501,0,1
oxonfair,1,-0.029764520434376964,0.573615905277976,1,0
oxonfair,2,-0.04118758614556939,0.597253558396702,1,0
oxonfair,0,-0.0312500000000001,0.5959603194499159,1,0
oxonfair,1,-0.05794568491936916,0.42581682961477396,1,0
21multi,0,-0.004583333333333406,0.7464026071697166,0,1
21multi,1,-0.16885964912280707,0.7266232138380547,0,1
21multi,2,-0.02649281934996227,0.6517088660482995,0,1
oxonfair,0,-0.040530303030303076,0.568062170970168,1,0
oxonfair,1,-0.04253560324134493,0.5045959722570402,1,0
21multi,1,-0.15755803650540498,0.6742291301077964,0,1
21multi,0,-0.006250000000000048,0.7044144123612662,0,1
21multi,2,-0.02084833933573436,0.5461686304002674,0,1
oxonfair,2,-0.046598639455782354,0.705032589621459,1,0
21multi,1,-0.1382398546872232,0.6204980362663992,0,1
21multi,2,-0.027006802721088474,0.6085735773376786,0,1
oxonfair,2,-0.042659563825530225,0.614941087991978,1,0
21multi,0,-0.004861111111111168,0.7755215732152307,0,1
oxonfair,1,-0.05330647555527944,0.5646599577409305,1,0
oxonfair,0,-0.05012254901960787,0.5907716809461313,1,0
21multi,1,-0.1251879699248121,0.6892525874726927,0,1
oxonfair,2,-0.06637007744274186,0.6549924055859496,1,0
21multi,2,-0.02644657863145259,0.6286788668839309,0,1
oxonfair,0,-0.056018518518518544,0.5452772903261747,1,0
oxonfair,1,-0.05511179652110498,0.5847899906561225,1,0
