method,iteration,violation,accuracy,accuracy_rank,violation_rank
oxonfair,1,-0.17971014492753626,0.6652243856437566,1,1
oxonfair,2,-0.09625000000000003,0.6978532201697455,1,1
21multi,1,-0.11337792642140475,0.6953800069127077,0,0
21multi,2,-0.06388888888888894,0.7004493260109835,0,0
oxonfair,0,-0.0037878787878787845,0.711224829422533,1,1
21multi,2,-0.07709643605870024,0.6260609086370444,0,0
21multi,0,0.0,0.7139291063404893,0,0
oxonfair,2,-0.04819991954947709,0.5926110833749376,1,1
21multi,1,-0.12274247491638803,0.7301355658819463,0,0
oxonfair,0,-0.01704545454545453,0.6078382426360459,1,1
oxonfair,1,-0.15031055900621124,0.6942443477640684,1,1
21multi,1,-0.12282608695652178,0.710648313244419,0,0
oxonfair,0,-0.004132231404958674,0.6845186765306587,1,1
oxonfair,2,-0.04464285714285717,0.6309107766921047,1,1
oxonfair,1,-0.18304347826086959,0.6762522882343152,1,1
21multi,0,0.0,0.6341487768347479,0,0
21multi,2,-0.08984866352201264,0.7101223165252122,0,0
21multi,0,0.0,0.7100460420480391,0,0
oxonfair,2,-0.08704369469026552,0.6086495257114328,1,1
oxonfair,1,-0.17554347826086963,0.7025711432850724,1,1
oxonfair,0,0.0,0.7319021467798305,1,1
21multi,1,-0.11552795031055905,0.7413879181228158,0,0
21multi,2,-0.0930555555555556,0.746158539967826,0,0
21multi,1,-0.11552795031055905,0.7413879181228158,0,0
21multi,0,0.0,0.7100460420480391,0,0
oxonfair,1,-0.17554347826086963,0.7025711432850724,1,1
oxonfair,2,-0.08704369469026552,0.6086495257114328,1,1
21multi,2,-0.0930555555555556,0.746158539967826,0,0
oxonfair,0,0.0,0.7319021467798305,1,1
oxonfair,2,-0.06750000000000003,0.6866699950074887,1,1
21multi,1,-0.1334448160535118,0.7746841276546717,0,0
21multi,2,-0.08333333333333337,0.7695123980695623,0,0
oxonfair,0,-0.020202020202020183,0.6160758861707439,1,1
oxonfair,1,-0.19456521739130436,0.6707438841737394,1,1
21multi,0,0.0,0.6987851555999335,0,0
oxonfair,0,-0.006493506493506488,0.6873974752157478,1,1
oxonfair,1,-0.17608695652173914,0.6514811116658347,1,1
21multi,2,-0.022916666666666696,0.6366283907472124,0,0
21multi,1,-0.12500000000000006,0.7509360958562157,0,0
oxonfair,2,-0.0944874631268437,0.6951239806956232,1,1
21multi,0,0.0,0.7152271592611084,0,0
oxonfair,0,0.0,0.7299675486769847,1,1
oxonfair,1,-0.18320158102766806,0.7054872237098897,1,1
